Filename,Artist,Album,Title,Track#,Genre,Duration,Size
2-30.mp3,A Flock of Seagulls,Listen,Listen,7,New Wave,01:00,1446
A Commotion.mp3,Feist,Metals,A Commotion,5,Folk,03:53,6904
Alabama Blues.mp3,St Germain,From Detroit to St Germain,Alabama Blues,2,Goa,07:19,6865
Alice's Restaurant Massacree.mp3,Arlo Guthrie,The Best of Arlo Guthrie,Alice's Restaurant Massacree,1,Folk,18:31,34731
All The Young Dudes.mp3,Matthew Sweet & Susanna Hoffs,Under The Covers: Vol. 2,All The Young Dudes (David Bowie),5,Rock,03:52,9081
Alligator Sky.mp3,Owl City,All Thing Bright And Beautiful - Deluxe,Alligator Sky,13,Pop,03:15,6176
American Heart.mp3,Faith Hill,American Heart - Single,American Heart,1,Country,03:50,9069
American Pie.mp3,Don McLean,American Pie,American Pie,1,Easy Listening - Male,08:32,20045
Aqualung.mp3,JETHRO TULL,Aqualung,Aqualung,1,Rock,06:37,11596
Ashes By Now.mp3,Lee Ann Womack,I Hope You Dance,Ashes By Now,7,Country,04:11,9851
Ashes By Now.mp3,Lee Ann Womack,Greatest Hits,Ashes By Now,8,Country,04:12,9880
Big Jet Plane (Radio Edit).mp3,Angus & Julia Stone,Big Jet Plane [EP],Big Jet Plane (Radio Edit),1,US Folk,03:43,8776
Bird Song.mp3,The Wailin' Jennys,Bright Morning Stars,Bird Song,3,Folk,03:33,3338
Boogie On Reggae Woman.mp3,Stevie Wonder,The Definitive Collection,Boogie On Reggae Woman,4,R&B,05:14,10894
Brazilian Stomp.mp3,Earl Klugh,Earl Klugh,Brazilian Stomp,3,Jazz,05:39,10605
Bring Me Home.mp3,Mother Earth,Bring Me Home,Bring Me Home,5,Rock,06:05,11428
C'est La Mort.mp3,The Civil Wars,Barton Hollow,C'est La Mort,3,US Folk,02:29,4094
Chicken on a Raft.mp3,As good as it gets,As good as it gets,Chicken on a Raft,6,Folk UK,03:30,6583
"Don't Think Twice, It's All Right.mp3",Bob Dylan,At Budokan,"Don't Think Twice, It's All Right",5,Folk Cont,05:01,11766
Eagle Plume Dancer.mp3,Black Lodge Singers,Ceremonial and war dances,Eagle Plume Dancer,7,"Native American, Ethnic",02:25,2269
Earth And Sky.mp3,WAI.TAI,Hoea,Earth & Sky,3,"Moari, Ethnic,New Age",03:28,5984
Everybody's Fool.mp3,Evanescence,Fallen,Everybody's Fool,3,Alternative Metal / Nu-Metal / Gothic Rock,03:17,7893
Fake Tales Of San Francisco.mp3,Arctic Monkeys,Five Minutes With Arctic Monkeys,Fake Tales Of San Francisco,1,Indie Rock / Brit Pop,03:01,7271
fear.mp3,Shona laing,Shona laing,Hey,3,Celtic,04:22,4101
Fields of Gold.mp3,Varios,Celtica 1,Fields of Gold,15,Rock Celtic,03:34,8382
Fire.mp3,Soul Divas,Soul Divas,Fire,7,Soul,03:26,6465
Fortune Teller.mp3,Xavier Rudd,Food In The Belly,Fortune Teller,4,Mellow,03:27,4866
Free Bird Live [Fox Theater].mp3,Lynyrd Skynyrd,One More from the Road [MG],Free Bird Live [Fox Theater],12,Rock,13:36,25506
French Letter.mp3,Herbs,Lights of the Pacific: The Very Best Of,French Letter,3,Reggae,04:36,8646
Got The Love - 2009.mp3,Average White Band,The Collection Vol.1 CD2,Got The Love,12,Soul,03:47,8874
Great Southern Land.mp3,Icehouse,Primitive Man [Bonus Tracks],Great Southern Land,1,Rock,05:19,12468
Hallelujah.mp3,Gin Wigmore,Extended Play,Hallelujah,3,World,03:31,8263
Hard Travelin' Hootenanny.mp3,Arlo Guthrie,Til We Outnumber 'Em: Woody Guthrie,Hard Travelin' Hootenanny,1,Folk,03:30,6588
